question,category,expected_section,retrieved_sections,retrieved_titles,retrieved_scores,top_1_hit,top_3_hit,top_5_hit,first_matching_rank,reciprocal_rank
What is the role of the AMF?,network-functions,6.2.1,5.19.5.1 | 6.2.1 | 5.34.3 | 3.1 | 6.3.5,"General | AMF | I-SMF selection, V-SMF reselection | Definitions | AMF discovery and selection",0.440538 | 0.358240 | 0.187227 | 0.064609 | 0.050868,False,True,True,2,0.5
What are the functions of the SMF?,network-functions,6.2.2,6.2.2 | 5.34.6.1 | 5.8.2.4.1 | 6.3.2 | 5.8.2.1,SMF | General | General | SMF discovery and selection | General,0.929819 | 0.814478 | 0.477103 | 0.464365 | 0.316731,True,True,True,1,1.0
What is the role of the UPF?,network-functions,6.2.3,6.2.3 | 5.6.12 | 5.8.2.21 | 5.8.2.22 | 6.3.3.1,UPF | Use of Network Instance | Operator configurable UPF capabilities | Handling of Payload Headers | Overview,0.243389 | 0.169574 | 0.168676 | 0.162059 | 0.141099,True,True,True,1,1.0
What are the functions of the UDM?,network-functions,6.2.7,6.2.7 | 5.22.2 | 5.3.2.1 | 6.3.8 | 5.31.8,UDM | Subscription-related Priority Mechanisms | General | UDM discovery and selection | High latency communication,0.995565 | 0.450114 | 0.338781 | 0.307868 | 0.101671,True,True,True,1,1.0
What is the role of the NRF?,network-functions,6.2.6,6.3.1 | 6.2.6.1 | 6.3.3.2 | 7.1.5 | 6.3.14,General | General | SMF Provisioning of available UPF(s) | Network Function and Network Function Service registration and de-registration | NEF Discovery,0.997154 | 0.994605 | 0.181131 | 0.073940 | 0.070454,False,True,True,2,0.5
What is the function of the PCF?,network-functions,6.2.4,6.2.4 | 5.27.1.8 | 5.37.7.1 | 5.6.7.1 | 5.37.4,PCF | Exposure of Time Synchronization | General | General | Network Exposure of 5GS information,0.928774 | 0.890217 | 0.450153 | 0.363853 | 0.163466,True,True,True,1,1.0
What is the role of the AUSF?,network-functions,6.2.8,6.2.8 | 6.3.4 | 5.30.2.10.2 | 5.20 | 3.1,AUSF | AUSF discovery and selection | Onboarding Network is an SNPN | External Exposure of Network Capability | Definitions,0.781527 | 0.023381 | 0.020982 | 0.013467 | 0.007847,True,True,True,1,1.0
What does the NSSF do?,network-functions,6.2.14,6.2.14 | 5.15.5.2.1 | 4.2.2 | 6.3.28 | 5.15.5.3,NSSF | Registration to a set of Network Slices | Network Functions and entities | NSSF discovery and selection | Establishing a PDU Session in a Network Slice,0.647087 | 0.114616 | 0.072514 | 0.018523 | 0.007747,True,True,True,1,1.0
How is an AMF selected?,selection,6.3.5,6.3.5 | 6.3.10 | 6.3.2 | 5.19.5.1 | 5.9.5,AMF discovery and selection | SMSF discovery and selection | SMF discovery and selection | General | AMF Name,0.934537 | 0.167029 | 0.061576 | 0.029152 | 0.027021,True,True,True,1,1.0
How is an SMF selected?,selection,6.3.2,6.3.2 | 5.34.3 | 5.16.4.5 | 6.3.10 | 6.3.7.1,"SMF discovery and selection | I-SMF selection, V-SMF reselection | SMF and UPF selection function for Emergency Services | SMSF discovery and selection | PCF discovery and selection for a UE or a PDU Session",0.594704 | 0.381632 | 0.317742 | 0.056548 | 0.036350,True,True,True,1,1.0
